firstName,lastName, LoanBalance , ArrearsBalance ,ArrearsDays,RepaymentAmount,LVR,JointLoan,LPI, SecurityValuation , RelationshipBalance , SavingsBalance ,SavingsBalanceOne,SavingsBalanceThree,ArrearsBalanceOne,ArrearsBalanceThree,ArrearsDaysOne,ArrearsDaysThree,TransactionQuantityOne,TransactionValueOne,TransactionQuantityThree,TransactionValueThree,AppUsageOne,AppUsageThree,InternetUsageOne,InternetUsageThree,BranchVisitsSix,Gender,Age,ResidentialPostcode,DefaultOccurred
Clarita,Cavee,5311.00,9955.00,691,9828.00,62,No,No,9190.00,5584.00,4109.00,20,95,22,57,24,61,95,3,12,76,33,48,53,65,10,Male,8,1790,No
Bernie,McGarvey,905.00,2359.00,241,7072.00,63,Yes,Yes,9696.00,2767.00,5870.00,12,48,6,41,68,52,45,45,34,8,7,11,69,28,71,Female,51,96289,No
Frankie,Helling,4016.00,9803.00,280,7128.00,28,Yes,No,1033.00,4561.00,4971.00,95,95,97,35,49,69,37,15,34,74,31,92,41,2,8,Male,16,26760,Yes
Ludovico,Borrott,8981.00,6901.00,706,524.00,56,No,Yes,5034.00,6192.00,5779.00,8,79,78,76,52,26,76,50,15,3,75,95,46,21,54,Female,58,83750,Yes
Valentina,Footitt,1740.00,3635.00,396,4998.00,27,Yes,No,8088.00,1862.00,2868.00,69,2,56,30,8,86,90,89,48,83,87,58,10,81,18,Male,38,90682,No
Mireielle,Rohlf,1760.00,9685.00,453,7741.00,76,Yes,Yes,9032.00,4169.00,3355.00,72,5,80,29,93,72,88,5,2,77,67,83,12,12,57,Female,29,54219,No
Hewett,Hatry,5830.00,2368.00,237,8121.00,12,No,No,5002.00,2713.00,9772.00,43,86,76,87,50,16,53,57,55,94,91,9,9,64,47,Male,22,86732,No
Shanie,Ciubutaro,6556.00,611.00,222,7417.00,55,Yes,No,8783.00,9292.00,8014.00,81,33,82,35,96,42,56,28,73,38,47,53,27,10,53,Female,55,9934,Yes
Maureene,Stiegars,4966.00,3190.00,391,9342.00,88,Yes,No,4184.00,3574.00,2992.00,44,10,5,22,22,78,96,80,17,45,64,82,90,14,66,Female,47,36462,Yes
Valene,Bauchop,4068.00,3711.00,69,6156.00,50,No,Yes,6978.00,5113.00,545.00,32,18,97,63,81,10,92,93,73,16,75,85,55,89,81,Male,6,44873,Yes
Muire,Maurice,4646.00,1647.00,508,6261.00,34,Yes,No,5757.00,3415.00,8219.00,32,12,94,11,25,76,42,74,69,26,61,33,91,85,49,Female,41,69772,No
Oralie,Dobeson,3360.00,461.00,647,912.00,66,Yes,No,8488.00,7866.00,4747.00,5,61,29,77,82,86,5,11,49,27,19,59,13,63,59,Male,56,53542,No
Timoteo,Morbey,6949.00,1308.00,803,751.00,66,Yes,Yes,5021.00,2628.00,4730.00,88,58,61,77,39,42,35,78,64,1,38,90,57,88,68,Female,17,4362,Yes
Denys,Petrolli,8881.00,236.00,797,2683.00,70,Yes,Yes,4864.00,8435.00,1805.00,52,61,29,11,11,32,32,85,57,25,9,63,38,17,72,Male,13,81216,No
Bernadina,Prosser,4620.00,7561.00,595,4974.00,94,Yes,Yes,6342.00,1547.00,5857.00,86,43,60,25,13,4,21,55,51,64,63,48,80,73,75,Male,77,16761,Yes
Beck,McQuaker,4685.00,6418.00,914,866.00,41,Yes,No,8536.00,8592.00,5135.00,39,78,34,9,97,68,63,23,3,86,21,37,70,27,68,Male,12,34991,No
Gunter,Carlisi,317.00,2969.00,922,5598.00,1,Yes,No,1460.00,7790.00,6266.00,92,65,62,79,37,24,8,31,81,22,89,73,45,23,94,Female,77,80815,Yes
Inger,Charlon,1275.00,3594.00,973,6496.00,84,No,Yes,2092.00,5328.00,6343.00,36,56,55,33,20,12,84,9,86,28,98,11,23,73,99,Female,12,98065,Yes
Staci,Cuddehay,6691.00,6007.00,464,5723.00,2,Yes,No,7668.00,1098.00,6340.00,46,4,87,67,78,99,19,20,75,32,34,86,88,54,78,Male,64,99129,Yes
Edie,Perkis,496.00,986.00,819,7748.00,33,Yes,No,8694.00,6776.00,665.00,67,61,12,67,36,72,53,75,12,1,34,73,78,100,59,Male,19,50453,No
Brod,Lethcoe,5578.00,3086.00,194,8878.00,92,No,Yes,7152.00,1962.00,8149.00,5,50,91,97,32,40,41,97,98,93,88,53,30,81,48,Female,36,77391,No
Demott,Checkley,3138.00,3569.00,277,7775.00,62,Yes,Yes,5624.00,8856.00,1216.00,91,5,99,1,28,30,24,43,62,35,68,93,57,100,99,Female,47,79266,No
Hoyt,Sloyan,4231.00,6344.00,41,8316.00,1,No,Yes,4857.00,9423.00,3472.00,87,76,48,22,13,60,95,66,64,16,59,95,33,43,57,Male,62,31085,No
Kahaleel,Linning,707.00,6627.00,585,2308.00,54,No,No,4427.00,9036.00,6155.00,55,82,8,47,96,4,30,50,74,15,59,91,19,38,96,Male,7,13169,No
Randal,Ebbage,7531.00,7816.00,258,1329.00,69,No,No,5590.00,2106.00,6330.00,22,80,5,94,85,32,42,71,32,65,9,64,6,65,23,Female,12,42140,Yes
Myrwyn,McInteer,988.00,9343.00,121,8203.00,62,No,No,7256.00,396.00,1249.00,17,89,85,81,13,2,93,60,2,68,24,8,62,53,90,Female,25,94357,No
Ivette,Tanguy,5008.00,7511.00,846,7733.00,11,No,Yes,3062.00,5534.00,5195.00,80,52,71,69,9,57,55,42,23,30,81,8,78,30,50,Female,51,37675,No
Beverlee,Robelin,2972.00,5915.00,719,6373.00,46,Yes,No,6912.00,8984.00,7509.00,60,98,83,14,16,80,14,49,51,99,34,26,15,13,2,Male,1,12624,Yes
Correy,Kirkwood,217.00,1669.00,384,1716.00,38,No,Yes,950.00,5519.00,2155.00,80,99,97,50,75,51,85,14,2,51,2,80,86,22,13,Male,39,89162,Yes
Cherice,Kearn,4934.00,5569.00,591,4360.00,83,Yes,Yes,8758.00,5767.00,9934.00,38,41,35,26,34,9,45,95,60,86,20,8,23,64,65,Female,46,1226,No
Shaine,Kumar,3567.00,6806.00,725,8766.00,94,Yes,No,5506.00,5101.00,1797.00,54,11,7,78,27,78,66,79,31,25,79,99,76,95,22,Male,7,83783,Yes
Nathalia,Dobrovsky,5741.00,2073.00,744,5825.00,52,Yes,Yes,7265.00,9731.00,7569.00,13,76,29,65,23,23,60,83,77,30,74,3,97,24,89,Male,56,63717,Yes
Merline,Gallemore,1721.00,6614.00,187,7859.00,62,Yes,Yes,8010.00,324.00,5333.00,75,85,89,5,5,54,8,93,49,81,88,78,8,14,58,Male,57,59343,Yes
Shelbi,McUre,9764.00,5072.00,32,1029.00,2,Yes,No,1292.00,1762.00,8301.00,40,6,74,88,38,80,59,2,26,79,98,5,8,63,5,Male,47,76634,No
Dela,Spiaggia,3740.00,4899.00,915,1244.00,12,No,Yes,6307.00,2124.00,4178.00,58,49,16,63,60,51,64,58,89,67,98,79,64,25,46,Male,12,98646,Yes
Cassy,O'Currane,5058.00,8580.00,100,9054.00,42,No,Yes,1494.00,3730.00,2894.00,61,42,55,11,6,13,62,12,67,51,72,57,65,85,38,Male,29,69830,No
Morgen,Dukelow,7123.00,9350.00,262,2906.00,82,No,Yes,8869.00,3748.00,1965.00,73,2,34,23,21,37,23,98,10,7,24,49,5,19,34,Female,31,7376,No
Gustav,Normabell,894.00,388.00,760,6819.00,84,Yes,Yes,821.00,4708.00,3011.00,54,95,29,12,33,74,89,36,5,100,48,66,42,46,68,Male,15,58309,Yes
Cindee,Khosa,1322.00,2747.00,997,7676.00,60,Yes,No,6125.00,7274.00,8043.00,33,11,52,28,45,79,58,67,82,66,41,62,45,44,49,Male,67,68058,Yes
Blanche,Furzey,5967.00,4924.00,780,2007.00,4,Yes,No,6579.00,6943.00,4703.00,18,44,95,61,35,60,68,97,71,86,38,96,13,91,31,Male,48,57578,No
Maisie,Maroney,3834.00,9663.00,285,4998.00,42,No,Yes,5783.00,5883.00,9826.00,62,53,71,1,63,70,18,66,47,36,6,2,29,25,79,Female,32,32168,No
Chrissie,Najara,5222.00,5199.00,930,4380.00,83,No,Yes,987.00,6364.00,7546.00,21,26,34,53,82,87,10,54,61,72,75,2,26,14,57,Male,68,129,Yes
Dominica,Duddridge,7973.00,5038.00,967,3038.00,17,Yes,Yes,7281.00,7151.00,7805.00,73,9,44,12,94,53,26,24,44,65,9,85,28,86,79,Female,24,83855,Yes
Aldo,Preston,4210.00,1050.00,304,1194.00,21,Yes,Yes,8482.00,6420.00,9024.00,96,5,81,8,58,50,3,28,48,72,32,2,79,82,38,Male,24,55122,No
Gregor,Budgen,5944.00,597.00,545,1417.00,90,No,Yes,3020.00,3229.00,6917.00,16,88,74,54,79,83,87,68,66,2,12,77,12,87,99,Male,21,94545,Yes
Marty,Catlette,3456.00,2754.00,819,3769.00,39,No,Yes,5202.00,8907.00,8805.00,62,19,17,6,5,8,56,92,89,4,92,9,100,29,23,Male,79,1830,Yes
Jamil,Brimmell,6893.00,1163.00,250,5702.00,27,No,No,6722.00,3704.00,558.00,44,2,70,81,39,89,23,18,53,80,36,13,34,31,76,Male,45,8307,No
Kort,Mayoh,7217.00,7358.00,297,1090.00,40,No,Yes,9384.00,4758.00,2808.00,38,34,43,48,69,71,53,93,4,30,45,48,87,17,19,Female,57,61829,No
Marjory,Fone,5522.00,7873.00,878,9595.00,61,No,No,7513.00,6763.00,2483.00,46,20,30,96,78,30,25,48,4,52,84,20,61,94,66,Female,28,52115,Yes
Conney,Pybus,8914.00,7195.00,405,657.00,60,Yes,Yes,8696.00,3632.00,9426.00,38,9,45,47,36,97,58,96,39,71,21,30,56,77,34,Female,59,44634,Yes
Bevvy,Jeandot,4316.00,4769.00,200,3166.00,10,No,Yes,2947.00,215.00,7175.00,16,97,55,43,40,24,59,53,22,91,25,15,25,40,64,Male,52,64838,No
Dyna,Verrills,5609.00,4251.00,600,5327.00,4,No,No,4237.00,810.00,3824.00,28,91,65,42,21,19,47,79,18,51,61,41,62,69,68,Female,47,91854,Yes
Rainer,Halhead,112.00,4183.00,778,3425.00,33,Yes,No,7021.00,2474.00,3610.00,76,18,53,32,31,51,34,98,61,33,28,44,55,65,7,Female,17,95660,No
Jecho,Boame,1382.00,5097.00,536,3440.00,64,No,Yes,6013.00,2301.00,5502.00,97,3,70,96,30,79,56,32,51,15,56,25,91,1,29,Female,35,23524,Yes
Niles,Mulran,8620.00,5307.00,785,7538.00,77,Yes,No,1703.00,8972.00,9858.00,50,96,32,94,29,57,44,47,42,11,51,92,46,86,16,Male,1,25907,Yes
Ogdan,Manthroppe,9678.00,9816.00,423,206.00,75,Yes,Yes,1612.00,6232.00,1215.00,58,80,94,53,82,81,37,14,31,54,43,32,18,9,45,Female,67,49350,No
Gibb,Barens,668.00,7598.00,679,2728.00,40,No,No,5366.00,6285.00,5994.00,36,57,67,74,33,16,41,78,15,86,54,44,36,82,7,Male,32,99808,Yes
Marysa,Durgan,5440.00,1246.00,857,9058.00,47,No,Yes,6776.00,2871.00,4948.00,57,77,33,69,39,65,100,2,25,77,84,44,15,26,81,Male,12,6651,No
Jacquie,Flaune,1782.00,9701.00,783,3179.00,18,No,No,9917.00,8150.00,5209.00,8,43,41,48,58,72,44,42,99,46,2,68,82,26,42,Male,49,62489,Yes
Keefer,Wife,1487.00,3993.00,809,5619.00,94,Yes,Yes,9206.00,8677.00,2985.00,72,96,87,31,34,40,97,59,88,1,30,48,35,78,64,Male,24,62936,No
Shaylyn,Hallihan,7383.00,1349.00,474,2652.00,92,No,No,3719.00,9668.00,7422.00,71,36,14,98,91,28,37,76,79,47,63,44,16,68,25,Male,63,64902,No
Nealson,Bearns,5408.00,6763.00,948,2161.00,69,No,Yes,212.00,1242.00,3679.00,94,62,66,53,20,40,96,82,12,4,43,87,29,85,39,Male,56,67658,Yes
Sella,Passfield,6828.00,7196.00,382,2235.00,10,No,Yes,1763.00,9345.00,1842.00,47,37,81,87,88,53,42,49,64,77,50,69,34,93,63,Female,22,83582,Yes
Lotte,Nangle,4912.00,5075.00,956,2013.00,25,No,No,2580.00,1986.00,6652.00,26,62,7,24,72,75,52,59,39,63,93,12,94,85,20,Female,37,53040,Yes
Victoria,Louw,8976.00,2354.00,775,2830.00,44,No,Yes,239.00,8982.00,2228.00,41,60,41,78,24,90,5,57,89,58,89,14,53,5,62,Female,41,88738,Yes
Willie,Bythell,8359.00,8852.00,453,6529.00,98,Yes,Yes,9267.00,4304.00,3990.00,25,92,47,78,67,4,98,45,92,2,98,67,80,50,65,Male,53,61707,Yes
Eadmund,Stode,5733.00,9324.00,145,5793.00,9,Yes,No,5886.00,6996.00,2492.00,56,69,18,98,15,86,55,78,8,67,18,40,38,59,41,Female,13,82175,No
Hubey,Goare,6898.00,4984.00,109,740.00,96,No,No,2829.00,5515.00,5551.00,86,41,31,70,76,11,98,21,97,1,55,70,1,35,73,Male,54,53023,Yes
Todd,Ebbins,5271.00,4328.00,624,9202.00,79,No,Yes,7353.00,1125.00,4124.00,59,52,43,72,96,36,49,9,15,81,28,15,46,52,22,Male,41,89533,No
Paxton,Roderham,2587.00,1814.00,563,6377.00,8,No,No,844.00,962.00,740.00,61,12,62,49,4,49,30,19,20,57,32,68,53,39,22,Female,40,53030,Yes
Stu,O'Shea,4466.00,5860.00,330,8573.00,59,Yes,Yes,3328.00,5807.00,6913.00,16,93,42,57,66,77,40,55,31,93,57,42,62,2,91,Female,59,89168,No
Merrily,Slainey,7888.00,6148.00,429,2152.00,40,No,Yes,1824.00,883.00,3951.00,81,54,58,36,91,29,91,76,95,33,90,94,38,58,18,Male,13,47253,No
Bab,Dear,8834.00,7177.00,468,6394.00,34,No,No,315.00,982.00,5754.00,33,51,2,8,92,78,8,18,12,18,30,76,57,64,55,Male,41,96241,No
Joseph,Saterthwait,7574.00,2058.00,582,6762.00,65,No,No,3368.00,5828.00,2408.00,29,45,12,93,5,29,53,23,34,73,21,58,17,55,98,Male,70,93828,No
Hector,Kemmett,5847.00,7801.00,850,584.00,54,No,No,6241.00,6104.00,3419.00,25,93,8,4,67,10,51,99,89,69,48,42,38,1,28,Female,6,36042,No
Denyse,Gallamore,9620.00,3822.00,195,8317.00,58,Yes,No,466.00,8796.00,9620.00,85,96,42,66,6,87,33,82,45,34,24,54,17,26,67,Female,1,99808,Yes
Lorenzo,Dawtry,6218.00,2483.00,187,4320.00,12,No,Yes,5489.00,5477.00,381.00,16,28,4,97,40,19,14,56,58,97,16,73,50,80,82,Male,32,73578,Yes
Sullivan,Bladon,1660.00,386.00,451,9466.00,37,No,No,5953.00,5791.00,3129.00,32,35,78,81,51,68,7,17,99,19,80,4,63,96,33,Female,36,45408,No
Laureen,Josuweit,7944.00,3933.00,165,5589.00,71,Yes,No,1012.00,8651.00,8374.00,67,49,26,55,65,10,64,22,20,6,63,65,9,54,55,Male,66,72459,No
Talya,Hallaways,5202.00,3848.00,449,2869.00,66,Yes,No,3558.00,4138.00,2956.00,41,9,83,40,63,78,93,57,3,32,11,27,12,11,87,Male,1,94061,Yes
Elladine,Martinuzzi,3506.00,6690.00,68,7507.00,5,Yes,Yes,4736.00,3592.00,3486.00,8,30,74,78,23,42,38,80,44,30,61,45,16,53,7,Female,37,26851,Yes
Ellie,Han,352.00,3640.00,314,3769.00,30,No,No,2519.00,7805.00,1815.00,77,35,53,100,14,63,95,72,98,78,24,79,75,16,11,Female,64,20450,Yes
Marcelia,Viccars,1914.00,8510.00,181,4989.00,11,Yes,No,2581.00,7037.00,5219.00,16,55,32,3,74,76,85,99,34,12,66,32,37,87,92,Female,30,47748,Yes
Michael,Petken,3696.00,9333.00,858,3554.00,31,Yes,No,4143.00,4928.00,7442.00,99,71,88,39,100,59,26,16,1,71,35,71,33,41,57,Male,40,23141,No
Ellen,Ceyssen,5873.00,946.00,420,9994.00,61,No,No,4279.00,907.00,894.00,20,59,8,71,45,25,61,64,8,22,92,100,74,43,61,Male,41,97981,No
Siusan,Steptowe,7432.00,8365.00,594,9847.00,98,No,No,4024.00,442.00,1330.00,30,1,96,59,16,40,15,82,73,94,74,88,37,39,72,Female,63,14422,No
Sean,Gladdifh,629.00,4874.00,388,4006.00,97,Yes,No,9354.00,8615.00,9658.00,19,90,29,73,3,42,7,5,40,27,16,7,72,47,17,Female,78,52707,No
Sephira,Dellenbrook,1462.00,3891.00,130,510.00,97,Yes,No,4939.00,4955.00,8085.00,18,28,81,32,84,82,44,58,86,77,69,38,3,46,82,Female,29,77417,No
Marybeth,Corro,2398.00,3380.00,434,4659.00,26,Yes,No,4934.00,4171.00,2281.00,17,54,11,95,68,70,88,31,25,88,94,62,67,26,80,Female,22,81509,No
Chantal,Crosetto,5121.00,3488.00,203,3419.00,12,Yes,No,5529.00,9062.00,1242.00,54,62,21,58,55,49,55,65,77,42,46,100,52,71,18,Male,25,55386,Yes
Silas,Bosse,9312.00,2065.00,994,4591.00,42,No,Yes,8245.00,8983.00,8344.00,95,69,59,86,85,19,3,50,86,23,62,40,53,18,91,Male,14,99781,Yes
Janna,Muldoon,961.00,7665.00,777,1127.00,7,No,No,4404.00,6068.00,9234.00,27,88,74,97,6,9,54,48,73,51,35,78,17,72,91,Female,30,56821,Yes
Dynah,Ault,5477.00,9343.00,643,7876.00,86,Yes,Yes,7629.00,1233.00,2838.00,91,49,16,42,48,80,72,11,13,17,36,28,10,34,23,Male,9,26297,Yes
Carley,Bearns,4972.00,5136.00,481,7494.00,32,Yes,No,8507.00,245.00,3554.00,24,68,67,99,89,50,79,67,26,36,59,37,4,40,95,Female,4,3552,No
Sela,Bothram,7118.00,2151.00,992,5859.00,4,Yes,No,1177.00,8146.00,9639.00,100,71,85,2,93,64,4,32,12,16,81,54,25,21,7,Male,67,79411,No
Laurella,Arson,3265.00,2347.00,322,902.00,55,No,Yes,6979.00,8429.00,2564.00,60,56,85,24,5,30,42,89,73,53,84,87,71,76,81,Male,56,80641,Yes
Xylia,Scough,8071.00,5948.00,717,1775.00,25,Yes,No,9031.00,2068.00,8208.00,1,26,9,87,81,86,84,2,41,98,52,100,8,71,60,Female,78,62703,Yes
Skylar,Bevan,5505.00,6527.00,641,588.00,98,No,No,9344.00,8990.00,4509.00,65,55,83,62,56,64,4,41,87,51,19,24,33,75,39,Female,53,47342,Yes
Klement,Reddington,8503.00,1179.00,614,4064.00,95,No,Yes,8237.00,7402.00,7017.00,67,91,86,90,20,99,14,37,6,30,46,71,10,60,49,Male,25,80317,Yes
Martica,Boulding,1883.00,5126.00,926,8652.00,42,No,Yes,9686.00,6557.00,1410.00,35,23,65,20,58,99,91,8,40,39,12,19,31,58,98,Male,62,66216,Yes
Codie,McLenaghan,7138.00,2003.00,958,2645.00,62,No,No,1793.00,114.00,2022.00,20,95,22,57,24,61,95,3,12,76,33,48,53,65,10,Male,8,1790,No
Fayina,Vala,1243.00,9110.00,442,3992.00,63,Yes,Yes,9654.00,4542.00,8701.00,12,48,6,41,68,52,45,45,34,8,7,11,69,28,71,Female,51,96289,No
Law,Adin,3159.00,4678.00,320,9845.00,28,Yes,No,6668.00,9085.00,4227.00,95,95,97,35,49,69,37,15,34,74,31,92,41,2,8,Male,16,26760,Yes
Cyrille,Oakinfold,1456.00,3005.00,270,1685.00,56,No,Yes,7700.00,7354.00,4929.00,8,79,78,76,52,26,76,50,15,3,75,95,46,21,54,Female,58,83750,Yes
Joanie,Musico,5390.00,4191.00,528,5891.00,27,Yes,No,3049.00,9215.00,974.00,69,2,56,30,8,86,90,89,48,83,87,58,10,81,18,Male,38,90682,No
Rebekah,Runchman,6954.00,8527.00,552,8417.00,76,Yes,Yes,660.00,3789.00,9183.00,72,5,80,29,93,72,88,5,2,77,67,83,12,12,57,Female,29,54219,No
Erina,Ganning,9243.00,101.00,443,5061.00,12,No,No,1584.00,5986.00,8718.00,43,86,76,87,50,16,53,57,55,94,91,9,9,64,47,Male,22,86732,No
Iver,Mattingley,4029.00,6825.00,642,7197.00,55,Yes,No,6269.00,1346.00,7500.00,81,33,82,35,96,42,56,28,73,38,47,53,27,10,53,Female,55,9934,Yes
Corabella,Binny,6937.00,9412.00,748,3733.00,88,Yes,No,5620.00,2750.00,1691.00,44,10,5,22,22,78,96,80,17,45,64,82,90,14,66,Female,47,36462,Yes
Sonnie,Woolacott,4447.00,419.00,979,5681.00,50,No,Yes,6643.00,5160.00,2379.00,32,18,97,63,81,10,92,93,73,16,75,85,55,89,81,Male,6,44873,Yes
Pennie,Pernell,5088.00,7965.00,632,6335.00,34,Yes,No,9252.00,7824.00,5843.00,32,12,94,11,25,76,42,74,69,26,61,33,91,85,49,Female,41,69772,No
Boyce,Smooth,6050.00,7213.00,268,7908.00,66,Yes,No,2416.00,8158.00,1585.00,5,61,29,77,82,86,5,11,49,27,19,59,13,63,59,Male,56,53542,No
Ansel,Pellew,9275.00,6536.00,93,5829.00,66,Yes,Yes,4061.00,4278.00,3016.00,88,58,61,77,39,42,35,78,64,1,38,90,57,88,68,Female,17,4362,Yes
Waylin,Abramovici,2647.00,1249.00,962,3147.00,70,Yes,Yes,9901.00,9471.00,567.00,52,61,29,11,11,32,32,85,57,25,9,63,38,17,72,Male,13,81216,No
Estrella,Kryska,8183.00,1567.00,116,3912.00,24,No,No,2708.00,9243.00,6214.00,29,87,46,24,29,76,7,29,32,39,32,8,75,92,78,Female,49,64189,No
Di,Noddles,8067.00,4252.00,486,8558.00,79,Yes,Yes,1214.00,9958.00,2722.00,7,73,86,60,45,21,17,75,68,2,6,6,73,73,75,Female,35,47339,Yes
Broddy,Eagleston,3340.00,3524.00,817,6636.00,12,Yes,No,5974.00,1212.00,7331.00,69,52,72,63,68,85,81,43,9,98,42,93,46,7,6,Female,4,45620,No
Esther,Monkhouse,2145.00,2406.00,169,8065.00,90,Yes,No,7474.00,6887.00,5295.00,94,68,81,81,61,65,88,92,43,70,5,60,75,42,75,Female,66,24077,No
Nathalie,Dullingham,1297.00,9844.00,90,3974.00,64,No,No,901.00,456.00,9692.00,64,15,50,24,71,91,14,14,85,86,87,95,49,4,39,Female,54,96003,No
Denys,Wilsey,7866.00,3829.00,958,820.00,96,No,Yes,306.00,5907.00,4224.00,44,20,100,29,55,95,89,18,53,24,78,40,55,25,6,Male,39,15596,No
Willie,Fredi,5577.00,1936.00,612,676.00,80,Yes,No,8241.00,6603.00,2586.00,69,49,92,34,6,56,8,52,63,93,22,93,36,77,91,Male,43,70734,Yes
Karney,Tripe,1807.00,3107.00,319,161.00,17,Yes,No,5050.00,5054.00,1789.00,73,99,46,76,63,36,22,45,2,29,41,83,26,99,9,Male,23,17602,No
Gabie,Estick,7932.00,2931.00,991,5925.00,78,Yes,No,3341.00,7667.00,4510.00,24,74,4,58,34,16,50,47,65,44,80,41,5,58,19,Male,33,2544,Yes
Ardra,Stolz,9499.00,3308.00,180,8602.00,74,No,No,8273.00,1645.00,5389.00,65,68,49,74,38,41,25,25,83,96,100,97,49,79,68,Male,13,95774,No
Pammie,Caulier,3705.00,1698.00,448,4875.00,36,No,Yes,4289.00,8470.00,2394.00,30,8,85,13,69,8,15,59,87,82,20,38,68,26,75,Female,21,10039,Yes
Darby,O'Hickee,1008.00,9320.00,7,6741.00,71,No,Yes,7928.00,4458.00,2432.00,37,86,71,65,26,43,41,42,25,6,69,82,69,16,44,Male,21,62226,Yes
Sargent,Pooke,3148.00,6089.00,803,4425.00,12,Yes,No,6354.00,4282.00,6543.00,58,77,46,34,45,4,81,35,40,58,83,85,87,17,100,Male,5,57773,No
Alverta,Laing,2365.00,6452.00,650,9643.00,16,No,No,3232.00,4775.00,8470.00,78,47,45,60,5,13,13,52,29,8,44,89,37,26,30,Female,52,14577,Yes
Jabez,Jerschke,6444.00,1310.00,344,2418.00,24,Yes,No,8445.00,3387.00,5023.00,23,9,58,41,53,31,100,58,56,86,39,49,92,2,50,Female,15,92031,No
Duke,Oblein,8460.00,4103.00,693,3711.00,21,Yes,Yes,7394.00,9183.00,7329.00,23,91,97,25,59,96,4,29,51,93,87,41,67,14,94,Male,22,17107,No
Jarret,Oriel,7607.00,8274.00,736,5214.00,76,Yes,No,2602.00,1637.00,433.00,43,100,3,46,29,34,12,40,79,58,84,3,10,97,60,Female,24,96736,Yes
Myrlene,Cockling,9760.00,7060.00,974,9291.00,64,No,No,762.00,4676.00,2904.00,81,30,66,26,19,23,23,85,97,40,32,59,26,58,41,Male,57,79576,Yes
Warner,Musgrove,6529.00,3195.00,204,6427.00,85,No,Yes,865.00,1403.00,7336.00,6,2,86,7,69,58,99,2,52,18,11,77,72,92,100,Female,69,99660,No
Isobel,Wilfling,1209.00,3725.00,444,7914.00,50,Yes,Yes,8569.00,9251.00,5317.00,13,3,74,72,48,56,6,70,51,4,96,65,68,55,39,Male,25,62492,Yes
Pietra,Dowe,678.00,2233.00,947,9033.00,21,Yes,Yes,1266.00,4513.00,6886.00,79,95,36,38,4,76,41,79,35,23,4,91,3,46,29,Female,15,89112,Yes
Vasili,Norewood,1747.00,983.00,573,1787.00,18,No,Yes,2449.00,215.00,4876.00,25,80,2,58,48,31,31,86,7,44,62,5,12,46,35,Female,29,37478,Yes
Charisse,Sawnwy,6546.00,2595.00,202,6583.00,14,No,No,5632.00,5362.00,700.00,62,80,75,72,17,51,73,59,39,100,73,2,85,92,26,Female,44,22778,No
Cecily,Crudginton,2915.00,2626.00,137,2602.00,73,Yes,Yes,9635.00,7854.00,6024.00,52,53,50,70,10,28,67,4,99,50,42,83,86,70,15,Male,44,80430,No
Chiquita,Woodwing,4651.00,3172.00,461,4716.00,14,No,Yes,6754.00,8747.00,7579.00,42,14,60,66,91,13,26,46,68,99,86,10,15,55,52,Female,15,24962,Yes
Siana,Grant,5621.00,7053.00,786,3849.00,75,No,Yes,3986.00,3009.00,2694.00,56,49,47,61,99,60,1,55,43,41,10,83,36,7,49,Male,67,68429,Yes
Nico,Nangle,169.00,7155.00,226,6697.00,6,Yes,Yes,9533.00,3811.00,5076.00,48,82,20,59,62,63,14,74,61,7,12,88,33,41,18,Female,47,94247,No
Dugald,Comer,5473.00,5087.00,994,7470.00,26,No,Yes,6031.00,2019.00,7258.00,42,13,23,55,88,8,73,24,56,31,69,64,21,42,36,Male,77,27831,No
Tamarra,Bruyet,3557.00,9879.00,181,8357.00,14,No,No,9354.00,5682.00,656.00,67,9,89,50,99,19,94,19,24,87,32,54,50,49,97,Female,74,22810,No
Robinson,Sloan,8260.00,8001.00,239,4753.00,42,Yes,Yes,6760.00,7564.00,7259.00,75,92,32,71,49,89,4,57,71,92,60,27,16,42,84,Male,77,82766,No
Giacopo,Iozefovich,1520.00,7284.00,279,1430.00,47,No,Yes,6410.00,3706.00,2997.00,75,32,48,86,73,89,69,22,89,15,53,73,82,20,39,Male,63,59225,Yes
Cassie,MacDuffie,9006.00,2900.00,281,8760.00,89,No,No,6614.00,8446.00,1561.00,15,12,62,49,9,74,4,5,43,36,31,30,81,6,49,Female,41,70919,Yes
Nobie,Esselin,3641.00,698.00,977,7860.00,40,No,Yes,2603.00,4701.00,5807.00,98,25,65,63,60,40,52,43,55,11,52,49,96,60,79,Female,29,37502,Yes
Conchita,Mellenby,3859.00,5954.00,107,8968.00,93,No,Yes,7801.00,1895.00,8214.00,56,43,76,83,69,52,73,21,74,15,27,24,38,42,36,Male,27,40648,Yes
Barbey,Castan,6176.00,3845.00,53,9225.00,5,Yes,No,9332.00,8683.00,4662.00,62,49,100,74,3,73,82,33,37,2,78,43,88,23,14,Female,13,35389,Yes
Aldis,Di Franceshci,6092.00,1984.00,289,250.00,4,Yes,No,3955.00,7059.00,959.00,13,48,39,49,5,35,4,38,75,91,37,92,20,40,37,Female,63,67278,No
Harriott,Caplen,3218.00,3869.00,673,6062.00,29,Yes,No,5699.00,1456.00,9639.00,27,26,8,5,92,62,96,6,19,62,33,41,5,23,33,Female,17,12673,No
